Username,Pro Name,Role,Region
aTmVn1zdL5c0ladq-ZdXm0gVKVNnUnGnLK69GswB6NKc-QLUD07XSAp6cSxMO0Pxe7BV-Z0FyFviMA,Rebel,SUP,KR
RHkL1NJaO5qkl_F8omDh6GAI1Ekt0GyttMnYCKDpl_nNMMw3YKi63giOkctQV9Yi546ZxsK82p5qNg,Ice,SUP,KR
fK9KRzslFWmYW677H0LgZSSMf6SrYhhaCJAjE8wF1PjFryxa_wUvmrSnaMmD8TQLtWyNhLIwoztQyg,Way,SUP,KR
LVQXWbdc84ehu9QKqGKP8wefE8aqbo6HstNNqYtdXSti6weYSmZKHM3hg8GBnitrulkUFapVFs0qgg,Duro,SUP,KR
-suztnusBEaG5yWNUhlT4jVBbgj_qqo3BNGDRTA68Gnilcb6V2ea4cHGdmWLrxy7NXi_jdXwr49sVA,Bull,ADC,KR
W1FnQj8Uq8fduWPXxLLFUOBcVqEIZzoXg7ApeMT11ngdJ8H8eTynJ_VL7B7XYI4vKW6qOY0mucOyHw,Castle,TOP,KR
zq785J-4u_5dWnCDbgMdtVMUutlrLSdwCOAUgiVz0hV3eKgLWj-Vvk63s6JhmxqMdxgEChGAW1lBdQ,Noah,ADC,KR
6Pdqy_5nP713Erz_uOMoU7R8p8FmHRA5p0-wacC8YymUXtNxD6GsnJmIGwank1_cN3I42b5PCgbNxA,Kingkong,ADC,KR
Q1R9yWKSDWQAYrsRzctEapllPszJ8uKJZ8gTVRGo7TzPVVggjk6yaXAHC4qrO02__NqPA37gVZe1lw,Thanatos,TOP,KR
DuPEqKa4HL3-xGR-C1GL2zM26BWpWVVGl5q9CWeyxugd3d1tdOfe3Yemq9NTZ5CK7QKMj3pO3qVuXA,Trigger,ADC,KR
Q9kXb3l2_W07lKUlyJGqSxvwCpXa2B2HsEMiF6SIs7GV2CAtJQnO2P4FzaLcWuePVFtz3TMeCQJrGQ,Rahel,ADC,KR
88Goel1GBZkVL08HoHF_fHoXWN70sqO1Iow2MTMzxcP-Uu92IDPHPCm2dhtjrBMMxXLHcxSjBotiFA,Photon,TOP,KR
iAX-CrdSAi2UWiuw718U79KB9CjKpw0lpp-EhhbQv1OFVc4AfYxsvKeaC9a2jCabdCEwpKQToCPOeg,Valkyrie,ADC,KR
bNZtrcxywfxoFiABygUlyfsDsjjHL2d9H2MjQ-9uuSqAcsoPPRzUJHimDrTp2PoFOHAT32YLFMuhtw,GimGoon,TOP,KR
